"Cluster","RAJ2000","DEJ2000","GLON","GLAT","r50","Nstars","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","plx","s_plx","e_plx","d05","d16","dmode","d84","d95","dmode+01","dmode-01","X","Y","Z","Rgc"
"ESO_092_05",150.801,-64.755,286.184,-7.506,0.043,55,-2.919,0.132,0.024,2.397,0.215,0.031,0.061,0.082,0.012,10004.4,10437.8,11147.1,11974.6,12605.0,5278.1,"nan",3080.3,-10613.7,-1456.1,11845.4
"ESO_092_18",153.73,-64.611,287.124,-6.658,0.025,59,-3.551,0.128,0.02,2.761,0.1,0.018,0.032,0.064,0.008,14127.5,14920.2,16347.2,18091.3,19465.4,6208.5,"nan",4780.7,-15517.2,-1895.2,15920.2
"ESO_130_06",181.97,-59.31,297.391,3.092,0.109,72,-11.266,0.148,0.018,-0.866,0.127,0.024,1.229,0.039,0.005,791.5,792.9,794.9,796.9,798.4,736.4,863.5,365.2,-704.8,42.9,8005.9
"ESO_130_08",182.619,-59.479,297.745,2.98,0.101,117,-5.952,0.108,0.011,-0.875,0.092,0.011,0.721,0.033,0.003,1325.8,1329.1,1333.8,1338.5,1341.7,1176.8,1539.1,620.1,-1178.8,69.3,7809.4
"ESO_130_13",185.782,-59.644,299.357,3.031,0.088,133,-4.422,0.074,0.008,-0.417,0.067,0.007,0.386,0.042,0.004,2382.7,2392.8,2408.5,2422.8,2432.9,1940.4,3171.4,1179.1,-2096.3,127.3,7461.4
"ESO_134_12",221.22,-59.158,317.028,0.574,0.033,63,-5.182,0.141,0.018,-3.122,0.137,0.019,0.415,0.049,0.006,2212.6,2229.7,2253.2,2279.4,2296.4,1838.8,2908.6,1648.5,-1535.8,22.6,6865.4
"ESO_166_04",137.602,-53.884,273.886,-3.98,0.068,36,-5.983,0.082,0.027,5.675,0.1,0.02,0.866,0.054,0.007,1108.7,1112.0,1117.2,1122.5,1126.1,1005.0,1257.8,75.5,-1112.0,-77.5,8338.9
"ESO_211_03",132.897,-50.253,269.24,-3.77,0.051,135,-4.681,0.199,0.018,4.333,0.232,0.022,0.159,0.098,0.009,5063.2,5161.8,5309.8,5478.9,5591.6,3468.1,11323.1,-70.3,-5297.8,-349.1,9939.8
"ESO_211_09",139.186,-50.285,271.945,-0.795,0.024,28,-3.53,0.222,0.054,3.12,0.295,0.07,0.093,0.108,0.019,6685.9,7217.5,8182.2,9462.0,10544.9,4498.8,45091.2,277.7,-8176.7,-113.6,11483.1
"ESO_226_06",246.04,-51.151,333.081,-1.178,0.04,30,-2.181,0.124,0.019,-3.308,0.061,0.013,0.389,0.058,0.009,2312.9,2344.2,2392.0,2441.3,2475.6,1930.2,3144.4,2132.4,-1082.7,-49.2,6301.3
"ESO_311_21",120.415,-41.596,257.145,-5.852,0.045,64,-2.852,0.151,0.02,5.51,0.197,0.027,0.16,0.049,0.007,4992.5,5110.9,5298.9,5507.8,5654.0,3463.6,11271.2,-1172.8,-5139.2,-540.3,10812.2
"ESO_312_03",126.123,-41.287,259.239,-2.106,0.049,64,-3.78,0.107,0.018,4.457,0.14,0.022,0.228,0.067,0.01,3737.6,3797.5,3893.3,3989.2,4061.0,2802.0,6366.0,-726.5,-3822.3,-143.0,9839.2
"ESO_312_04",126.722,-41.251,259.47,-1.717,0.016,39,-2.915,0.176,0.029,3.917,0.138,0.023,0.15,0.058,0.007,5244.2,5375.9,5595.4,5823.6,5990.4,3585.0,12701.9,-1022.1,-5498.7,-167.7,10857.5
"ESO_313_03",127.907,-41.784,260.422,-1.311,0.015,11,-3.189,0.228,0.067,3.492,0.183,0.049,0.163,0.069,0.017,4576.7,4805.1,5199.6,5663.4,6023.3,3420.5,10836.4,-864.9,-5125.8,-118.9,10535.9
"ESO_368_11",116.086,-34.628,249.378,-5.252,0.051,113,-0.853,0.112,0.012,2.278,0.14,0.017,0.429,0.042,0.004,2157.5,2167.2,2181.7,2196.3,2206.0,1791.0,2790.3,-765.2,-2033.4,-199.7,9329.4
"ESO_368_14",116.751,-32.959,248.201,-3.944,0.026,37,-1.938,0.167,0.038,3.561,0.145,0.035,0.222,0.062,0.009,3810.3,3876.8,3986.3,4099.7,4181.8,2850.5,6625.6,-1476.8,-3692.4,-274.2,10488.3
"ESO_371_25",133.248,-35.476,258.009,5.854,0.023,61,-2.429,0.107,0.016,1.749,0.146,0.021,0.134,0.074,0.01,5658.0,5831.7,6114.9,6425.6,6654.0,3794.8,15787.5,-1263.8,-5950.3,623.7,11297.8
"ESO_393_15",265.923,-34.203,355.293,-2.401,0.091,22,0.748,0.144,0.037,-0.489,0.184,0.04,0.315,0.053,0.012,2768.9,2821.3,2903.1,2991.1,3051.9,2250.2,4089.4,2890.7,-238.0,-121.6,5454.5
"ESO_559_13",112.176,-20.807,235.594,-1.564,0.025,17,-1.402,0.097,0.018,1.721,0.106,0.012,0.4,0.034,0.007,2275.1,2297.8,2333.2,2370.0,2395.5,1891.7,3043.5,-1317.9,-1924.3,-63.7,9847.7
"ESO_589_26",270.56,-21.922,7.947,0.323,0.031,102,-0.216,0.155,0.016,-2.695,0.118,0.014,0.336,0.055,0.006,2667.7,2695.2,2738.3,2783.3,2814.7,2149.5,3771.3,2711.9,378.6,15.5,5640.8
"FSR_0088",282.667,-4.158,29.143,-1.723,0.067,250,-1.589,0.165,0.011,-4.126,0.131,0.009,0.233,0.085,0.005,3720.3,3757.5,3809.4,3868.8,3905.9,2760.3,6154.7,3325.7,1854.3,-114.6,5346.2
"FSR_0123",287.911,12.037,45.929,1.057,0.042,158,-1.211,0.126,0.011,-4.162,0.125,0.01,0.175,0.06,0.006,4714.4,4785.3,4891.7,5010.0,5086.8,3285.0,9595.6,3401.8,3514.0,90.3,6060.8
"FSR_0133",292.448,15.561,51.111,-1.174,0.072,316,-2.37,0.209,0.012,-4.576,0.217,0.012,0.099,0.124,0.008,7277.4,7504.0,7821.2,8206.4,8478.2,4389.0,36074.9,4909.2,6086.5,-160.2,6986.8
"FSR_0154",297.009,23.353,60.01,-1.088,0.046,110,-1.601,0.1,0.012,-4.133,0.105,0.014,0.211,0.079,0.008,4027.6,4083.0,4168.3,4257.9,4326.1,2942.4,7156.0,2083.1,3609.6,-79.2,7223.4
"FSR_0158",296.99,26.04,62.32,0.284,0.018,27,-2.748,0.102,0.019,-5.432,0.093,0.017,0.139,0.072,0.014,5474.7,5657.4,5958.9,6287.7,6534.4,3733.3,14693.2,2768.0,5276.8,29.6,7674.1
"FSR_0165",299.546,26.761,64.115,-1.31,0.066,87,-2.782,0.134,0.022,-5.558,0.142,0.027,0.376,0.06,0.007,2427.3,2445.0,2469.0,2494.7,2512.3,1980.0,3278.9,1077.6,2220.7,-56.4,7594.3
"FSR_0166",303.385,25.43,64.837,-4.934,0.051,81,-4.191,0.093,0.013,-6.659,0.153,0.017,0.331,0.056,0.007,2702.4,2731.5,2774.0,2820.5,2851.5,2171.8,3842.1,1175.1,2501.5,-238.6,7589.0
"FSR_0167",301.218,27.057,65.154,-2.42,0.067,62,0.102,0.133,0.014,-1.83,0.096,0.016,0.533,0.042,0.006,1757.3,1766.3,1780.2,1794.1,1803.9,1511.2,2165.7,747.3,1614.0,-75.2,7762.3
"FSR_0172",300.004,29.215,66.417,-0.367,0.023,50,-2.54,0.096,0.015,-5.959,0.12,0.02,0.307,0.057,0.009,2886.6,2922.9,2979.6,3036.3,3077.1,2295.5,4244.4,1192.0,2730.7,-19.1,7651.8
"FSR_0195",304.229,33.637,72.087,-0.998,0.033,56,-2.828,0.152,0.019,-4.397,0.172,0.023,0.267,0.098,0.014,3168.3,3249.3,3376.3,3516.8,3616.8,2525.3,5101.3,1038.3,3212.2,-58.8,7977.0
"FSR_0198",300.614,35.681,72.182,2.609,0.127,95,-3.56,0.209,0.027,-6.611,0.248,0.026,0.486,0.045,0.005,1923.5,1932.2,1943.7,1955.3,1963.0,1627.5,2412.5,594.2,1848.6,88.5,7963.4
"FSR_0238",308.693,41.417,80.477,0.62,0.039,33,-2.902,0.177,0.036,-4.547,0.127,0.03,0.596,0.059,0.012,1560.6,1576.7,1601.0,1627.2,1644.7,1380.0,1906.2,264.9,1578.8,17.3,8228.0
"FSR_0241",300.763,46.196,81.234,8.03,0.09,65,-1.427,0.094,0.018,-3.575,0.094,0.014,0.45,0.035,0.005,2065.2,2074.0,2087.1,2100.3,2110.1,1726.9,2638.8,315.0,2042.5,291.6,8280.9
"FSR_0275",314.171,46.902,87.212,0.971,0.055,108,-2.831,0.114,0.012,-4.825,0.145,0.013,0.223,0.052,0.005,3856.9,3899.7,3973.7,4043.8,4098.3,2842.0,6591.3,193.2,3968.4,67.3,9061.9
"FSR_0278",307.761,51.021,87.859,6.82,0.085,66,-4.615,0.083,0.017,-9.738,0.096,0.012,0.554,0.033,0.005,1698.7,1705.6,1714.8,1723.9,1730.0,1463.8,2069.7,63.6,1701.4,203.6,8449.5
"FSR_0282",315.572,48.096,88.734,1.039,0.048,88,-3.64,0.162,0.018,-4.67,0.125,0.017,0.243,0.079,0.009,3523.3,3583.6,3677.9,3775.9,3843.7,2689.0,5821.4,81.2,3676.4,66.7,9040.1
"FSR_0284",314.141,49.362,89.072,2.582,0.015,18,-2.503,0.122,0.024,-3.504,0.146,0.029,0.312,0.045,0.011,2819.2,2865.7,2935.5,3010.0,3061.2,2269.2,4155.6,47.5,2932.2,132.3,8795.6
"FSR_0296",320.976,49.925,92.5,-0.272,0.02,42,-4.093,0.103,0.017,-5.12,0.099,0.016,0.276,0.053,0.007,3177.0,3216.5,3281.4,3343.4,3388.5,2470.4,4878.7,-143.1,3278.2,-15.6,9094.5
"FSR_0306",322.129,51.69,94.25,0.491,0.08,81,-2.14,0.115,0.013,-2.536,0.104,0.012,0.349,0.048,0.006,2598.4,2617.7,2645.7,2673.8,2693.1,2092.4,3596.8,-196.1,2638.4,22.7,8934.5
"FSR_0336",327.711,55.243,99.089,0.962,0.111,194,-3.066,0.126,0.01,-2.855,0.12,0.009,0.369,0.049,0.004,2486.1,2497.4,2513.6,2529.7,2541.1,2008.7,3357.5,-397.0,2481.7,42.2,9082.6
"FSR_0342",331.931,53.104,99.753,-2.237,0.103,232,-1.346,0.099,0.007,-1.837,0.067,0.006,0.343,0.036,0.003,2667.3,2676.5,2687.6,2700.6,2709.9,2118.3,3675.6,-454.9,2646.8,-104.9,9184.6
"FSR_0344",330.44,54.815,100.059,-0.339,0.034,15,-1.792,0.111,0.024,-1.591,0.093,0.032,0.196,0.056,0.016,3988.5,4159.9,4450.4,4783.8,5031.4,3080.7,8023.3,-777.3,4381.9,-26.3,10115.6
"FSR_0357",337.723,53.951,103.098,-3.418,0.019,50,-3.125,0.109,0.017,-2.281,0.083,0.015,0.219,0.066,0.009,3908.0,3958.3,4037.9,4125.8,4184.5,2878.3,6774.3,-913.4,3925.8,-240.8,10051.8
"FSR_0384",342.911,56.109,106.747,-2.951,0.035,47,-3.552,0.121,0.021,-1.711,0.082,0.016,0.468,0.049,0.007,1980.6,1992.8,2011.1,2029.4,2042.7,1674.6,2516.9,-578.7,1923.3,-103.5,9123.8
"FSR_0385",340.628,58.941,106.96,0.126,0.052,62,-5.939,0.097,0.015,-3.974,0.105,0.018,0.436,0.039,0.006,2118.5,2131.6,2149.3,2168.3,2180.2,1769.1,2737.7,-627.0,2055.9,4.7,9199.6
"FSR_0398",339.135,64.153,108.869,5.029,0.084,58,-3.218,0.192,0.026,-1.109,0.123,0.017,1.043,0.038,0.005,928.6,930.7,933.2,936.0,937.8,853.6,1029.3,-300.6,879.7,81.8,8685.3
"FSR_0401",345.245,59.698,109.407,-0.241,0.013,15,-3.837,0.069,0.015,-2.652,0.078,0.022,0.23,0.04,0.013,3650.1,3732.7,3868.1,4010.0,4112.4,2789.7,6304.1,-1285.2,3648.3,-16.3,10293.4
"FSR_0430",348.835,64.162,112.695,3.217,0.061,36,-1.878,0.144,0.024,-0.704,0.103,0.022,0.376,0.042,0.007,2393.1,2423.8,2469.9,2517.5,2549.8,1980.8,3279.6,-951.4,2275.1,138.6,9565.9
"FSR_0442",352.489,63.447,113.974,2.001,0.152,228,1.287,0.152,0.013,-2.554,0.145,0.013,0.664,0.068,0.005,1433.9,1437.2,1442.1,1447.6,1451.5,1260.8,1685.2,-585.6,1316.9,50.4,9022.3
"FSR_0448",356.818,60.902,115.208,-1.004,0.054,47,-2.49,0.148,0.018,-2.035,0.107,0.021,0.315,0.047,0.008,2825.0,2857.8,2905.9,2956.2,2991.2,2251.5,4096.8,-1237.5,2628.8,-50.9,9931.7
"FSR_0465",357.75,66.186,116.875,4.027,0.037,27,-2.583,0.166,0.029,-0.109,0.183,0.035,0.163,0.079,0.018,4750.7,4919.7,5204.4,5524.7,5756.0,3422.7,10848.6,-2346.9,4630.8,365.5,11647.0
"FSR_0496",6.656,64.01,120.217,1.269,0.091,127,2.231,0.093,0.01,-0.621,0.117,0.011,0.653,0.06,0.005,1454.8,1458.8,1465.0,1471.2,1476.3,1277.8,1716.5,-737.1,1265.6,32.5,9164.9
"FSR_0498",7.317,62.389,120.366,-0.372,0.117,51,-3.29,0.061,0.008,-0.681,0.048,0.007,0.336,0.027,0.005,2697.3,2714.7,2739.9,2765.2,2782.6,2150.6,3774.4,-1385.1,2364.0,-17.8,10008.3
"FSR_0524",14.34,62.125,123.624,-0.739,0.027,18,-1.547,0.1,0.028,-0.246,0.102,0.022,0.226,0.036,0.009,3680.0,3772.4,3913.0,4069.6,4178.1,2814.2,6429.8,-2166.6,3258.0,-50.5,11000.2
"FSR_0534",19.349,61.273,126.047,-1.442,0.102,74,-0.425,0.106,0.017,-0.281,0.084,0.011,0.335,0.052,0.006,2697.7,2717.4,2744.8,2774.3,2793.9,2153.5,3783.8,-1614.7,2218.6,-69.1,10198.9
"FSR_0536",19.919,63.026,126.128,0.33,0.059,34,-1.619,0.082,0.013,-0.025,0.087,0.016,0.288,0.038,0.006,3041.5,3084.6,3151.6,3218.7,3266.5,2395.8,4602.5,-1858.1,2545.5,18.2,10511.0
"FSR_0537",19.698,60.358,126.311,-2.334,0.043,52,-1.079,0.085,0.015,-0.821,0.079,0.015,0.255,0.054,0.007,3399.1,3446.2,3516.8,3590.3,3640.4,2601.3,5423.2,-2080.8,2831.5,-143.2,10798.6
"FSR_0542",21.485,63.011,126.835,0.401,0.123,41,-2.187,0.111,0.019,-0.203,0.097,0.021,0.271,0.07,0.012,3196.8,3249.2,3330.7,3418.0,3479.1,2498.3,4995.0,-1996.7,2665.7,23.3,10674.9
"FSR_0551",24.938,64.878,128.034,2.486,0.095,52,0.112,0.144,0.022,-1.422,0.163,0.021,1.063,0.052,0.007,909.5,912.0,915.7,919.4,922.1,838.9,1008.0,-563.7,720.6,39.7,8932.8
"FSR_0553",25.226,64.521,128.222,2.158,0.046,45,-3.243,0.093,0.021,0.086,0.145,0.026,0.306,0.065,0.01,2906.5,2938.2,2988.0,3037.8,3074.0,2300.6,4261.2,-1847.4,2345.8,112.5,10454.0
"FSR_0558",30.191,67.799,129.428,5.806,0.088,64,-1.024,0.094,0.013,0.794,0.09,0.014,0.314,0.057,0.007,2852.4,2879.4,2919.8,2960.2,2989.4,2259.7,4124.6,-1844.9,2243.7,295.4,10429.1
"FSR_0667",61.766,51.141,151.153,-0.685,0.068,37,0.901,0.135,0.032,-3.87,0.196,0.045,0.844,0.042,0.008,1131.6,1136.9,1144.9,1152.9,1158.5,1027.3,1293.0,-1002.8,552.3,-13.7,9359.1
"FSR_0683",77.168,53.213,155.926,7.709,0.033,33,-0.134,0.213,0.039,-0.812,0.114,0.029,0.289,0.096,0.018,2948.3,3025.6,3147.0,3273.9,3367.8,2391.3,4587.3,-2847.3,1272.1,422.1,11259.4
"FSR_0686",66.353,46.098,156.835,-2.212,0.156,30,-1.088,0.118,0.023,-2.556,0.068,0.016,1.087,0.038,0.007,887.1,890.9,896.4,902.0,905.6,822.7,984.6,-823.5,352.4,-34.6,9170.3
"FSR_0716",77.786,45.718,162.252,3.619,0.052,92,-0.265,0.126,0.015,-1.628,0.1,0.012,0.252,0.072,0.008,3438.8,3487.3,3561.8,3639.5,3694.6,2626.2,5533.1,-3385.5,1083.6,224.8,11775.5
"FSR_0728",67.458,38.496,162.916,-6.874,0.05,63,1.991,0.224,0.032,-2.224,0.127,0.021,0.543,0.053,0.007,1710.6,1725.2,1747.2,1769.2,1784.7,1487.3,2117.3,-1658.1,509.6,-209.1,10011.1
"FSR_0735",73.471,40.859,164.181,-1.835,0.041,66,0.512,0.117,0.027,-2.068,0.124,0.018,0.316,0.063,0.008,2822.5,2854.4,2902.2,2952.0,2983.8,2249.3,4086.9,-2790.8,790.7,-92.9,11158.9
"FSR_0771",75.919,32.157,172.257,-5.663,0.115,48,1.631,0.12,0.02,-4.203,0.061,0.01,0.618,0.067,0.011,1520.6,1530.7,1546.5,1562.2,1573.6,1339.3,1829.4,-1524.9,207.3,-152.6,9867.1
"FSR_0811",94.105,36.377,176.669,9.287,0.053,51,0.948,0.144,0.03,-2.064,0.11,0.023,0.325,0.07,0.012,2738.8,2770.6,2821.3,2873.8,2911.3,2200.5,3931.2,-2779.6,161.8,455.3,11120.8
"FSR_0826",85.765,28.989,179.662,-0.45,0.107,35,-0.535,0.174,0.027,-1.585,0.142,0.028,0.281,0.116,0.017,3063.9,3127.9,3226.7,3337.2,3412.7,2439.6,4767.5,-3226.6,19.0,-25.3,11566.6
"FSR_0833",91.32,30.827,180.51,4.634,0.038,31,-0.036,0.121,0.023,-0.807,0.11,0.022,0.186,0.063,0.012,4353.9,4471.6,4650.7,4850.2,4988.4,3175.8,8690.8,-4635.3,-41.3,375.7,12975.3
"FSR_0850",86.257,24.74,183.513,-2.3,0.083,145,1.301,0.161,0.014,-2.555,0.106,0.01,0.438,0.062,0.006,2108.4,2121.2,2139.7,2158.1,2170.9,1761.9,2721.7,-2133.9,-131.0,-85.9,10474.7
"FSR_0852",88.363,25.19,184.109,-0.431,0.05,35,0.433,0.104,0.02,-1.923,0.118,0.022,0.321,0.056,0.01,2754.8,2792.2,2853.9,2915.6,2961.8,2220.1,3993.9,-2846.5,-204.5,-21.5,11188.3
"FSR_0866",103.823,29.745,186.323,13.841,0.071,65,1.405,0.126,0.028,-0.443,0.091,0.021,0.812,0.045,0.005,1179.2,1183.4,1189.0,1194.6,1198.3,1062.6,1349.0,-1147.4,-127.1,284.4,9488.3
"FSR_0883",91.094,22.037,188.09,0.164,0.047,41,0.825,0.072,0.01,-1.542,0.085,0.013,0.299,0.038,0.006,2952.5,2989.2,3048.1,3109.3,3151.0,2335.8,4385.2,-3017.7,-429.0,8.7,11365.8
"FSR_0893",93.454,21.608,189.527,1.874,0.1,155,-0.355,0.147,0.013,-3.215,0.15,0.013,0.396,0.089,0.007,2314.9,2331.3,2355.1,2378.9,2396.8,1906.0,3080.9,-2321.4,-389.6,77.0,10668.5
"FSR_0904",91.774,19.021,191.033,-0.754,0.087,107,-0.448,0.141,0.016,-1.107,0.111,0.01,0.446,0.05,0.005,2071.5,2084.3,2104.1,2122.8,2136.8,1738.3,2665.1,-2065.1,-402.6,-27.7,10412.8
"FSR_0905",98.442,22.312,191.055,6.298,0.056,33,1.965,0.099,0.018,-3.85,0.07,0.011,0.649,0.033,0.007,1452.7,1461.7,1475.2,1488.7,1497.7,1285.6,1730.4,-1439.1,-281.2,161.8,9783.1
"FSR_0921",91.295,16.684,192.851,-2.292,0.037,44,-0.006,0.136,0.025,-1.652,0.149,0.025,0.327,0.091,0.015,2704.0,2742.6,2814.0,2885.4,2933.0,2195.1,3911.9,-2741.4,-625.4,-112.5,11099.0
"FSR_0923",92.644,16.971,193.227,-1.024,0.038,52,0.657,0.144,0.029,0.141,0.125,0.025,0.587,0.073,0.013,1585.3,1600.8,1623.4,1647.3,1662.9,1396.6,1938.1,-1580.1,-371.4,-29.0,9927.0
"FSR_0932",91.087,14.573,194.597,-3.498,0.039,60,-0.36,0.24,0.039,-0.789,0.249,0.038,0.402,0.131,0.021,2244.8,2274.2,2318.4,2365.3,2396.0,1882.3,3017.3,-2239.4,-583.2,-141.5,10595.5
"FSR_0935",98.778,17.74,195.293,4.508,0.047,51,-0.074,0.059,0.015,-1.056,0.092,0.014,0.377,0.052,0.007,2410.0,2432.7,2465.0,2500.6,2524.8,1977.4,3271.8,-2370.4,-648.1,193.8,10730.0
"FSR_0937",93.425,15.006,195.312,-1.309,0.065,18,0.5,0.092,0.028,-0.114,0.173,0.032,0.085,0.075,0.017,6643.8,7336.1,8797.6,11053.9,13105.0,4679.6,"nan",-8483.1,-2322.6,-201.0,16982.6
"FSR_0941",95.445,15.776,195.557,0.77,0.041,68,0.758,0.176,0.036,0.139,0.197,0.027,0.198,0.129,0.017,4099.7,4213.0,4399.8,4603.6,4750.8,3054.4,7864.0,-4238.2,-1179.9,59.2,12633.4
"FSR_0942",91.487,13.667,195.58,-3.599,0.069,164,-0.412,0.174,0.015,0.092,0.129,0.014,0.277,0.085,0.007,3181.3,3215.5,3265.5,3318.2,3352.5,2462.0,4847.1,-3139.4,-875.3,-205.0,11512.7
"FSR_0948",96.48,15.859,195.95,1.689,0.03,49,-0.132,0.113,0.023,0.051,0.136,0.019,0.2,0.045,0.007,4149.8,4235.1,4363.1,4505.2,4604.7,3037.8,7739.2,-4193.3,-1198.4,128.6,12590.4
"FSR_0951",95.573,14.65,196.609,0.351,0.164,195,0.242,0.12,0.009,0.07,0.105,0.011,0.553,0.05,0.004,1703.6,1709.7,1717.3,1726.5,1731.8,1465.6,2074.4,-1645.6,-490.9,10.5,9997.7
"FSR_0953",94.762,14.15,196.68,-0.578,0.052,105,-0.134,0.191,0.022,-2.877,0.105,0.016,0.331,0.055,0.006,2715.7,2740.7,2779.1,2817.6,2846.4,2175.0,3847.6,-2662.1,-797.7,-28.0,11030.9
"FSR_0968",92.843,11.863,197.802,-3.311,0.05,36,-0.356,0.099,0.014,-1.158,0.081,0.015,0.382,0.039,0.007,2371.4,2395.1,2431.3,2467.6,2492.9,1955.7,3212.8,-2311.1,-742.1,-140.4,10676.9
"FSR_0974",98.156,12.553,199.633,1.597,0.049,70,-0.463,0.15,0.02,-0.345,0.139,0.023,0.265,0.089,0.011,3265.6,3317.4,3399.5,3487.7,3548.6,2536.8,5151.4,-3200.6,-1141.8,94.7,11597.0
"FSR_0975",100.01,13.31,199.789,3.55,0.034,15,0.166,0.089,0.021,-0.817,0.096,0.028,0.173,0.041,0.009,4509.5,4678.4,4964.1,5282.3,5522.6,3316.9,9856.9,-4662.0,-1677.4,307.4,13109.7
"FSR_0977",97.974,11.865,200.162,1.122,0.024,22,0.721,0.061,0.016,-1.533,0.076,0.02,0.453,0.04,0.009,2013.2,2036.9,2074.8,2112.6,2139.9,1718.2,2618.0,-1947.3,-715.0,40.6,10312.1
"FSR_0979",97.814,11.081,200.785,0.621,0.046,68,0.225,0.167,0.019,-2.498,0.162,0.022,0.315,0.073,0.009,2818.7,2854.0,2910.0,2966.0,3007.5,2253.3,4102.1,-2720.4,-1032.6,31.5,11108.5
"FSR_0985",92.953,7.02,202.125,-5.523,0.031,57,-0.433,0.167,0.027,-0.904,0.144,0.033,0.462,0.082,0.011,1989.9,2009.1,2037.8,2066.5,2086.7,1692.9,2559.2,-1879.0,-763.9,-196.1,10247.5
"FSR_1025",102.62,6.612,206.934,2.798,0.011,14,0.202,0.083,0.021,-0.36,0.052,0.033,0.12,0.051,0.015,5944.1,6223.2,6696.4,7266.7,7691.4,4010.5,20346.6,-5963.0,-3029.6,326.9,14620.3
"FSR_1032",99.072,4.011,207.634,-1.533,0.022,21,-1.372,0.39,0.073,-3.174,0.356,0.071,0.456,0.252,0.057,1919.0,1973.4,2062.3,2161.2,2235.3,1708.9,2598.5,-1826.4,-956.2,-55.2,10211.3
"FSR_1051",103.046,3.662,209.756,1.834,0.053,35,-0.761,0.071,0.019,-2.639,0.087,0.018,0.399,0.059,0.009,2260.8,2289.4,2333.8,2381.0,2412.4,1892.1,3044.5,-2025.0,-1157.7,74.7,10429.4
"FSR_1063",98.654,-0.265,211.248,-3.863,0.034,44,0.057,0.1,0.023,-1.541,0.097,0.02,0.393,0.069,0.01,2301.9,2327.6,2367.5,2407.3,2435.8,1914.3,3101.6,-2019.4,-1225.3,-159.5,10431.6
"FSR_1083",110.503,3.557,213.24,8.42,0.034,103,-0.331,0.143,0.02,0.245,0.16,0.02,0.191,0.087,0.009,4337.4,4417.1,4542.4,4679.0,4770.1,3123.6,8328.0,-3758.2,-2463.0,665.1,12346.4
"FSR_1085",103.29,-0.192,213.299,0.295,0.041,68,-1.05,0.097,0.015,0.262,0.108,0.017,0.596,0.075,0.009,1576.9,1585.8,1599.9,1613.3,1622.9,1379.0,1904.1,-1337.2,-878.4,8.2,9717.0
"FSR_1113",107.3,-1.502,216.299,3.264,0.024,23,-0.566,0.079,0.017,1.913,0.083,0.021,0.254,0.048,0.011,3325.8,3403.2,3528.1,3665.0,3760.2,2609.0,5451.1,-2838.8,-2085.2,200.9,11371.7
"FSR_1117",94.159,-8.945,217.046,-11.764,0.09,31,-3.711,0.218,0.058,0.704,0.354,0.062,1.049,0.13,0.024,913.5,919.2,927.8,936.3,942.2,848.9,1022.5,-724.9,-547.2,-189.2,9081.4
"FSR_1125",102.619,-5.444,217.671,-2.693,0.024,36,-0.255,0.123,0.022,1.055,0.092,0.023,0.113,0.1,0.017,6084.1,6428.3,7021.1,7766.8,8340.5,4129.2,23652.6,-5551.3,-4286.0,-329.8,14537.5
"FSR_1144",104.298,-6.628,219.486,-1.744,0.047,69,-1.28,0.097,0.013,1.144,0.16,0.018,0.512,0.043,0.006,1823.0,1833.8,1849.0,1865.1,1874.9,1560.4,2268.5,-1426.3,-1175.2,-56.3,9836.8
"FSR_1150",106.146,-6.621,220.32,-0.108,0.028,46,-0.5,0.095,0.02,0.102,0.084,0.011,0.224,0.055,0.009,3799.9,3863.3,3960.2,4060.9,4131.7,2836.0,6555.6,-3019.4,-2562.5,-7.5,11644.8
"FSR_1153",108.573,-5.658,220.578,2.477,0.046,14,-1.376,0.069,0.025,1.206,0.084,0.02,0.33,0.058,0.015,2652.8,2704.6,2786.2,2873.7,2933.4,2179.0,3862.4,-2114.2,-1810.6,120.4,10609.8
"FSR_1163",104.81,-9.078,221.9,-2.409,0.076,51,0.192,0.1,0.015,1.215,0.1,0.016,0.396,0.054,0.008,2303.4,2321.5,2352.1,2381.4,2402.2,1903.5,3075.0,-1749.2,-1569.4,-98.9,10210.5
"FSR_1170",106.873,-8.879,222.656,-0.506,0.019,26,-0.639,0.104,0.017,-0.213,0.072,0.016,0.33,0.042,0.009,2688.0,2725.1,2785.7,2846.3,2891.2,2178.9,3860.9,-2048.6,-1887.5,-24.6,10558.7
"FSR_1171",105.058,-10.32,223.119,-2.757,0.014,20,0.244,0.111,0.032,-0.858,0.191,0.037,0.21,0.05,0.013,3793.7,3941.3,4181.6,4459.8,4662.2,2949.4,7190.4,-3048.8,-2854.9,-201.1,11741.2
"FSR_1172",103.909,-11.035,223.244,-4.087,0.021,16,-0.486,0.116,0.034,-0.247,0.128,0.036,0.39,0.064,0.012,2298.5,2333.1,2385.0,2441.6,2480.9,1926.6,3131.8,-1732.9,-1629.8,-170.0,10203.9
"FSR_1180",108.897,-9.453,224.09,1.0,0.067,87,-1.208,0.074,0.009,1.815,0.058,0.008,0.327,0.036,0.004,2743.3,2767.6,2806.0,2842.4,2868.7,2191.1,3900.7,-2015.1,-1952.1,49.0,10537.5
"FSR_1183",108.357,-9.884,224.224,0.328,0.039,37,-1.419,0.083,0.015,1.217,0.067,0.018,0.428,0.048,0.007,2137.8,2156.6,2186.5,2217.8,2239.0,1795.0,2798.6,-1566.9,-1525.0,12.5,10023.6
