"n_Cluster","Cluster","V","RAJ2000","DEJ2000","Rad","N","Nc","pmRAc","e_pmRAc","pmDEc","e_pmDEc","rhoc","Nf","pmRAf","e_pmRAf","pmDEf","e_pmDEf","rhof","FileName","n_FileName","ocl_left","RV","e_RV","o_RV","r_RV","ocl_right","_RA","_DE"
"*","Majaess 227","nan",356.82916,60.4675,7.5,232.0,193.0,-0.16,2.84,-0.6,1.49,0.3,39.0,3.18,13.4,-2.96,10.14,0.28,"Majaess_227.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 29","nan",37.02917,72.62639,6.5,87.0,59.0,-0.97,4.53,2.94,3.17,-0.1,28.0,0.98,20.14,0.16,11.95,-0.25,"Majaess_29.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 30","nan",41.15,60.995,2.0,23.0,17.0,1.25,0.1,-3.43,3.4,-0.46,6.0,2.48,18.88,-4.35,7.49,0.31,"Majaess_30.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 41","V",60.82917,51.29944,13.5,406.0,345.0,0.19,1.73,0.05,1.76,-0.39,61.0,1.27,9.86,-2.63,7.82,0.14,"Majaess_41.dat","nan","ocl",-24.2,1.3,1.0,1.0,"ocl",60.82917,51.29944
"*","Majaess 50","nan",71.3625,41.97583,9.5,474.0,394.0,-1.06,1.39,-0.21,2.47,-0.14,80.0,-0.45,16.66,-0.89,12.79,-0.06,"Majaess_50.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 58","nan",81.46666,34.875,8.0,269.0,243.0,-1.65,1.68,-4.46,2.14,-0.15,26.0,0.87,9.8,-3.43,12.69,-0.02,"Majaess_58.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 61","nan",84.59583,27.44972,3.0,36.0,22.0,2.19,5.35,6.34,1.86,-0.17,14.0,-5.96,14.78,-1.02,23.23,0.29,"Majaess_61.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 65","nan",87.43333,27.10833,8.0,195.0,156.0,-3.0,3.43,3.47,5.07,-0.15,39.0,-3.45,16.43,1.3,14.6,-0.14,"Majaess_65.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 68","V",88.05417,26.9925,12.0,303.0,225.0,-0.27,2.2,2.33,3.18,0.13,78.0,1.15,9.69,-0.75,10.96,-0.22,"Majaess_68.dat","nan","ocl",8.9,0.7,1.0,1.0,"ocl",88.05417,26.9925
"*","Majaess 69","nan",89.55833,16.55944,8.5,286.0,229.0,-0.09,2.31,-3.35,0.68,0.09,57.0,-0.28,12.8,-6.2,14.4,-0.15,"Majaess_69.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 70","V",90.24166,-9.90333,21.0,403.0,290.0,-1.53,1.88,-2.56,3.62,-0.33,113.0,0.3,11.66,-6.78,12.29,-0.21,"Majaess_70.dat","nan","ocl",-31.0,10.0,1.0,1.0,"ocl",90.24167,-9.90333
"*","Majaess 79","nan",96.96666,5.52778,5.0,42.0,31.0,-3.73,2.74,-0.07,2.55,-0.43,11.0,0.68,13.05,-4.45,9.49,0.06,"Majaess_79.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 8","nan",4.17917,64.50584,2.5,29.0,24.0,-2.38,0.15,2.06,2.01,-0.76,5.0,8.27,2.26,3.91,18.68,0.62,"Majaess_8.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 86","nan",109.62917,-18.37083,6.5,204.0,182.0,0.58,0.93,0.48,2.04,-0.1,22.0,1.72,8.88,2.48,15.09,0.25,"Majaess_86.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 9","nan",5.30417,63.32444,2.0,28.0,24.0,-2.19,3.25,2.8,0.1,-0.47,4.0,14.67,29.74,-2.86,1.19,0.61,"Majaess_9.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 95","nan",124.47083,-35.88,2.5,56.0,53.0,-3.16,3.94,1.01,3.7,-0.36,3.0,-10.35,1.06,-21.81,8.73,-0.63,"Majaess_95.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Majaess 99","nan",125.4375,-42.08194,6.0,105.0,74.0,-4.29,2.18,2.62,3.24,-0.21,31.0,-9.26,13.14,0.76,14.23,-0.66,"Majaess_99.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Mamajek 1","nan",130.52501,-79.02723,21.0,912.0,626.0,-4.27,4.06,4.52,5.3,-0.25,286.0,-7.06,14.34,7.79,15.55,-0.6,"Mamajek_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Mamajek 2","nan",264.5,-8.11167,6.0,97.0,78.0,-3.85,5.59,-9.11,7.16,0.55,19.0,-3.18,6.38,-10.38,15.45,-0.36,"Mamajek_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Mamajek 3","nan",81.79583,6.26667,126.0,28140.0,22970.0,0.55,2.43,-2.75,3.33,-0.11,5170.0,2.46,14.07,-7.08,15.84,-0.05,"Mamajek_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Mamajek 4","nan",276.5,-51.0,43.0,10416.0,8333.0,-1.01,3.65,-4.01,4.79,0.02,2083.0,-4.18,15.44,-8.98,14.87,-0.06,"Mamajek_4.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Markarian 38","nan",273.82083,-19.0,2.0,149.0,106.0,1.19,6.33,-2.65,6.44,-0.22,43.0,-0.66,30.89,-4.63,38.65,0.86,"Markarian_38.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Markarian 6","nan",37.41666,60.70667,4.0,49.0,35.0,-4.44,0.1,0.32,0.83,-0.51,14.0,4.12,9.56,-5.22,5.22,0.27,"Markarian_6.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Mayer 1","nan",5.475,61.75,4.5,144.0,122.0,-1.68,3.67,-1.18,0.53,0.15,22.0,3.1,22.72,3.78,14.51,-0.69,"Mayer_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Mayer 2","nan",64.9375,53.16667,2.5,26.0,20.0,-1.41,1.87,-5.88,4.36,0.28,6.0,7.55,18.03,-13.32,6.39,-0.62,"Mayer_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Mayer 3","nan",112.525,-18.53333,3.0,48.0,38.0,0.55,0.47,2.06,2.41,-0.06,10.0,1.47,11.18,-9.07,4.23,-0.15,"Mayer_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Melotte 101","V",160.54999,-65.1,8.5,1102.0,822.0,-4.31,2.16,0.79,2.75,-0.07,280.0,-5.73,16.71,2.18,21.85,-0.01,"Melotte_101.dat","nan","ocl",69.13,37.23,2.0,2.0,"ocl",160.55,-65.1
"nan","Melotte 105","nan",169.92499,-63.48333,3.5,297.0,202.0,-6.3,0.6,0.11,4.03,-0.08,95.0,-1.77,27.86,3.02,27.87,-0.09,"Melotte_105.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Melotte 111","nan",186.27501,26.1,61.0,1278.0,827.0,-6.52,8.55,-3.08,6.08,-0.18,451.0,-14.63,25.98,-11.46,16.73,-0.33,"Melotte_111.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Melotte 20","nan",51.07917,49.86166,151.0,64861.0,53143.0,0.87,2.84,-1.2,2.4,-0.15,11718.0,4.02,16.17,-5.39,14.59,-0.19,"Melotte_20.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Melotte 22","nan",56.75,24.11667,61.0,4204.0,252.0,18.93,1.29,-45.68,1.88,-0.24,3952.0,2.96,6.21,-5.18,5.32,-0.05,"Melotte_22.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Melotte 25","nan",66.725,15.86667,166.0,23161.0,18603.0,1.43,3.65,-4.26,4.41,-0.06,4558.0,6.71,17.2,-11.89,17.46,-0.08,"Melotte_25.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Melotte 31","V",79.54166,33.37361,68.5,17632.0,14341.0,0.34,2.39,-3.66,2.92,-0.04,3291.0,1.96,15.9,-5.98,16.04,-0.08,"Melotte_31.dat","nan","ocl",-4.79,1.02,10.0,1.0,"ocl",79.54167,33.37361
"nan","Melotte 66","nan",111.59583,-47.66667,8.0,385.0,284.0,-3.09,3.35,3.26,3.17,-0.21,101.0,-1.51,13.44,3.22,20.48,-0.21,"Melotte_66.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Melotte 71","V",114.375,-12.06667,4.5,358.0,265.0,-5.07,1.96,5.76,3.81,-0.03,93.0,-2.75,21.01,-0.31,25.68,-0.03,"Melotte_71.dat","nan","ocl",0.55,0.63,1.0,2.0,"ocl",114.375,-12.06667
"nan","Melotte 72","nan",114.6,-10.68333,3.5,150.0,124.0,-3.86,0.1,-0.26,1.95,0.44,26.0,3.65,7.52,-1.32,11.1,-0.46,"Melotte_72.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Miller 1","nan",141.425,-53.23333,1.5,35.0,27.0,1.22,4.75,-1.94,3.36,-0.11,8.0,6.9,16.59,4.84,12.32,-0.38,"Miller_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Moffat 1","V",240.375,-54.11666,4.5,217.0,169.0,-3.8,1.81,-4.41,1.87,-0.1,48.0,-2.78,23.13,-4.65,17.35,0.23,"Moffat_1.dat","nan","ocl",-42.0,3.7,1.0,1.0,"ocl",240.375,-54.11667
"*","Moffat 2","nan",258.61667,-39.76667,2.0,78.0,42.0,-1.7,0.1,-1.19,0.1,-0.36,36.0,-5.44,21.73,-5.27,28.12,0.24,"Moffat_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Moitinho 1","nan",124.82084,-45.20834,2.5,57.0,36.0,1.1,2.93,0.65,3.05,-0.46,21.0,-2.12,7.59,2.28,18.37,-0.08,"Moitinho_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Muzzio 1","nan",134.29999,-47.76667,6.0,130.0,95.0,-4.22,1.31,4.56,1.67,-0.06,35.0,-7.02,11.32,6.8,14.85,-0.32,"Muzzio_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1027","nan",40.67917,61.63361,4.1,138.0,94.0,-2.46,1.3,0.95,1.39,-0.15,44.0,-4.24,17.18,-3.91,9.27,-0.06,"NGC_1027.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 103","nan",6.31667,61.32333,3.0,138.0,101.0,-3.44,0.44,-0.32,0.46,0.2,37.0,-3.5,16.63,-2.03,17.85,0.0,"NGC_103.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1039","nan",40.52083,42.76167,18.5,1022.0,783.0,0.39,2.4,-3.99,2.91,0.03,239.0,1.35,16.04,-3.43,13.09,-0.16,"NGC_1039.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 110","nan",6.85417,71.38333,11.0,512.0,408.0,0.01,3.33,-3.47,1.86,-0.04,104.0,3.58,16.41,-5.49,14.35,-0.01,"NGC_110.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1193","nan",46.48333,44.38334,2.5,36.0,26.0,1.05,3.14,-4.96,4.94,-0.12,10.0,-24.42,37.86,9.49,26.23,-0.26,"NGC_1193.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1220","nan",47.91667,53.345,3.0,39.0,30.0,-0.13,4.99,-0.5,1.13,0.32,9.0,38.46,30.79,-1.31,17.72,0.66,"NGC_1220.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1245","nan",48.675,47.23667,21.0,2068.0,1684.0,1.83,2.58,-1.92,2.18,-0.11,384.0,3.68,17.57,-4.5,16.63,-0.08,"NGC_1245.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 129","nan",7.5,60.21833,10.5,898.0,764.0,-1.23,1.92,-0.51,0.91,0.06,134.0,1.94,20.55,-0.8,14.56,-0.12,"NGC_129.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 133","nan",7.82917,63.35,4.5,178.0,144.0,-2.65,2.19,0.67,0.55,0.08,34.0,-5.17,25.12,-0.84,15.3,-0.07,"NGC_133.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1342","nan",52.90833,37.37666,8.5,195.0,146.0,-2.99,2.45,-1.82,1.76,-0.12,49.0,-1.53,14.95,-6.74,12.01,-0.11,"NGC_1342.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1348","nan",53.525,51.40834,4.0,54.0,45.0,0.59,0.1,-0.45,0.1,-0.19,9.0,4.67,15.84,-4.35,13.98,-0.52,"NGC_1348.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 136","nan",7.8875,61.50834,3.0,129.0,100.0,-0.38,1.39,1.21,1.56,-0.11,29.0,3.26,16.08,2.24,13.35,-0.11,"NGC_136.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1444","nan",57.35416,52.65834,3.0,34.0,27.0,-2.51,0.49,-3.61,1.77,-0.49,7.0,3.57,10.04,-17.01,11.09,-0.45,"NGC_1444.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 146","nan",8.24167,63.33416,3.75,153.0,110.0,-2.77,2.32,0.33,0.72,-0.03,43.0,-0.2,21.07,-6.94,20.76,0.1,"NGC_146.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1496","nan",61.13333,52.66167,3.0,69.0,52.0,0.48,2.06,1.4,0.1,-0.11,17.0,5.78,16.75,1.02,12.71,0.14,"NGC_1496.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1502","nan",61.95834,62.33167,5.0,130.0,102.0,-0.55,1.05,-0.91,0.18,-0.18,28.0,3.66,12.51,-3.59,11.88,-0.01,"NGC_1502.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1513","nan",62.4875,49.515,6.0,243.0,180.0,1.11,1.7,-4.66,1.55,0.0,63.0,-1.28,16.14,-6.24,14.15,-0.15,"NGC_1513.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1528","nan",63.84583,51.215,9.0,536.0,405.0,0.9,1.47,-1.08,1.4,-0.17,131.0,-0.34,15.58,-2.98,15.29,-0.09,"NGC_1528.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1545","nan",65.2375,50.25333,10.0,449.0,377.0,-0.22,1.78,-1.52,1.89,-0.28,72.0,2.53,17.5,-1.09,19.18,-0.11,"NGC_1545.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1548","nan",65.33334,36.91667,16.0,470.0,377.0,3.71,1.98,-2.39,3.33,-0.06,93.0,7.13,18.15,-7.32,17.84,-0.11,"NGC_1548.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 1557","V",63.29583,-70.47166,14.0,160.0,115.0,2.71,5.38,5.53,8.03,0.21,45.0,8.22,14.75,14.47,30.39,0.46,"NGC_1557.dat","nan","ocl",4.96,3.6,2.0,2.0,"ocl",63.29583,-70.47167
"nan","NGC 1582","nan",67.9125,43.74333,13.0,755.0,599.0,0.22,1.63,0.13,2.61,-0.15,156.0,-0.04,14.99,-2.72,13.69,-0.07,"NGC_1582.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1605","nan",68.72083,45.27,4.0,110.0,91.0,-1.97,1.83,-2.04,0.95,0.07,19.0,-4.65,20.05,-8.7,10.35,0.22,"NGC_1605.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1624","nan",70.15,50.46167,2.5,44.0,25.0,-0.08,1.41,0.29,2.42,-0.48,19.0,1.8,14.0,-2.31,12.24,0.53,"NGC_1624.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1647","nan",71.47917,19.115,21.0,848.0,656.0,-0.74,0.1,-0.57,1.03,0.05,192.0,6.93,12.63,-4.68,11.64,0.02,"NGC_1647.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1662","nan",72.1125,10.93667,11.0,173.0,151.0,0.79,2.86,-2.16,1.8,-0.09,22.0,2.12,16.74,-10.92,7.4,-0.26,"NGC_1662.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1663","nan",72.24167,13.14833,7.0,59.0,45.0,2.18,1.99,-2.9,2.12,-0.4,14.0,-0.81,9.71,-8.51,11.04,-0.37,"NGC_1663.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1664","nan",72.77499,43.675,5.5,314.0,266.0,-1.83,1.27,-4.15,2.84,-0.13,48.0,4.0,9.52,1.44,10.55,-0.26,"NGC_1664.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1708","nan",75.8625,52.83333,11.0,409.0,307.0,-3.21,1.71,0.18,1.31,0.02,102.0,0.51,11.63,-0.56,11.68,-0.04,"NGC_1708.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1746","nan",75.95834,23.77,22.0,1573.0,1245.0,-1.58,2.21,-3.24,0.76,0.0,328.0,0.12,16.75,-7.11,15.14,-0.13,"NGC_1746.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1750","nan",75.97917,23.65833,11.0,381.0,297.0,-2.57,1.19,-3.1,0.1,0.04,84.0,-1.72,20.44,-6.65,16.25,-0.16,"NGC_1750.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1758","nan",76.14584,23.79833,5.5,145.0,113.0,-0.61,2.32,-3.57,0.76,-0.06,32.0,0.75,20.0,-6.06,13.51,-0.15,"NGC_1758.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1778","nan",77.01666,37.02333,5.0,167.0,116.0,-0.51,0.1,-3.93,1.15,-0.19,51.0,-4.52,16.22,-1.1,15.97,-0.08,"NGC_1778.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 1785","V",74.64584,-68.84444,4.0,140.0,72.0,2.86,0.53,-1.23,1.95,-0.28,68.0,3.38,13.3,-4.41,14.5,0.02,"NGC_1785.dat","nan","ocl",9.7,10.0,1.0,1.0,"ocl",74.64583,-68.84444
"*","NGC 1790","nan",77.75833,52.11833,8.5,263.0,169.0,0.2,2.71,0.27,1.84,0.12,94.0,2.1,12.35,0.72,14.37,-0.26,"NGC_1790.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1798","nan",77.9125,47.69167,3.5,126.0,86.0,0.9,5.47,-0.16,2.78,-0.12,40.0,-0.62,21.01,3.93,25.51,-0.14,"NGC_1798.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1802","nan",77.55833,24.10833,13.5,610.0,488.0,1.99,1.18,-0.82,1.89,-0.01,122.0,2.72,15.3,-4.21,14.47,-0.09,"NGC_1802.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1817","nan",78.0625,16.69,9.0,371.0,308.0,-1.79,2.0,-2.17,1.73,0.01,63.0,2.73,17.06,-4.65,15.52,-0.21,"NGC_1817.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1857","nan",80.025,39.34333,5.0,228.0,163.0,-1.94,0.1,-3.84,0.1,0.01,65.0,2.94,15.69,-4.3,19.51,-0.17,"NGC_1857.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 188","nan",11.86667,85.255,9.5,621.0,443.0,-3.0,1.83,-0.37,0.1,0.02,178.0,-0.15,19.18,0.42,17.62,0.08,"NGC_188.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1883","nan",81.475,46.49,2.5,65.0,40.0,1.02,1.57,-3.09,3.23,0.41,25.0,-4.65,22.07,7.15,26.27,-0.51,"NGC_1883.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 189","nan",9.89583,61.095,3.5,105.0,80.0,-0.36,0.59,-3.02,0.1,0.16,25.0,6.15,12.02,1.93,7.76,-0.06,"NGC_189.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1893","nan",80.68333,33.41167,13.5,830.0,681.0,-0.35,1.52,-3.97,2.74,0.12,149.0,0.05,20.1,-3.99,17.83,-0.19,"NGC_1893.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1896","nan",81.425,29.32833,11.0,571.0,517.0,1.89,2.83,-4.35,2.33,-0.22,54.0,4.83,17.37,-4.93,19.0,-0.14,"NGC_1896.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1901","nan",79.54584,-68.45,6.0,230.0,142.0,0.01,1.55,1.01,5.57,0.28,88.0,0.2,16.4,3.18,16.08,-0.37,"NGC_1901.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1907","nan",82.02084,35.325,4.5,232.0,168.0,-0.85,1.47,-4.22,2.14,-0.02,64.0,-6.66,18.49,-5.78,17.43,-0.06,"NGC_1907.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1912","nan",82.16667,35.84833,11.0,916.0,694.0,-0.52,1.44,-4.14,1.54,-0.13,222.0,-2.23,15.67,-7.43,14.6,-0.08,"NGC_1912.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1931","nan",82.85416,34.245,9.5,328.0,279.0,-0.29,2.12,-3.48,3.09,-0.07,49.0,-3.53,13.45,-7.51,14.35,-0.51,"NGC_1931.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1960","nan",84.075,34.14,6.0,276.0,199.0,-0.22,0.76,-5.66,1.01,-0.09,77.0,0.74,14.68,-6.7,13.25,0.36,"NGC_1960.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1976","nan",83.81667,-5.39,24.5,754.0,628.0,2.05,1.9,1.56,2.75,-0.05,126.0,2.42,23.43,-6.18,26.15,-0.16,"NGC_1976.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1977","nan",83.81667,-4.82,11.0,146.0,127.0,3.24,2.96,1.34,4.07,0.19,19.0,-0.43,21.38,-12.46,6.04,-0.06,"NGC_1977.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1980","nan",83.85001,-5.915,11.0,118.0,93.0,0.73,0.1,-0.46,0.54,0.03,25.0,-1.77,17.99,0.54,13.55,-0.27,"NGC_1980.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1981","nan",83.78333,-4.34306,12.0,207.0,134.0,3.22,2.61,1.36,1.57,0.24,73.0,5.86,11.31,-3.46,13.45,0.0,"NGC_1981.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 1996","nan",84.54166,25.81667,12.0,459.0,406.0,-1.58,1.48,1.92,2.93,-0.18,53.0,2.89,13.34,-9.61,13.19,0.25,"NGC_1996.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 2013","nan",86.00417,55.79333,4.0,42.0,34.0,0.65,3.5,-2.32,5.97,0.02,8.0,12.36,5.93,-11.69,7.68,-0.86,"NGC_2013.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 2017","V",84.82083,-17.84667,7.0,64.0,56.0,1.02,3.98,-0.61,5.09,0.09,8.0,16.43,9.49,-15.71,9.99,0.84,"NGC_2017.dat","nan","ocl",22.0,7.6,1.0,1.0,"ocl",84.82083,-17.84667
"*","NGC 2026","nan",85.8,20.13333,9.0,308.0,261.0,0.3,1.59,-4.49,2.72,-0.36,47.0,0.84,19.3,-8.6,21.29,-0.04,"NGC_2026.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 2061","nan",86.025,-33.935,10.0,104.0,86.0,0.51,3.84,3.49,5.95,-0.27,18.0,6.84,5.5,5.47,14.16,-0.32,"NGC_2061.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2099","nan",88.075,32.55333,8.0,976.0,588.0,2.08,1.84,-6.4,1.54,-0.16,388.0,1.26,18.6,-1.02,15.51,-0.09,"NGC_2099.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2112","nan",88.43749,0.41,10.0,344.0,244.0,-3.07,1.25,1.2,0.1,-0.27,100.0,-2.26,12.91,0.05,12.55,-0.18,"NGC_2112.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2126","nan",90.62083,49.91778,4.2,94.0,68.0,-0.63,1.24,-1.62,2.67,0.09,26.0,6.04,12.03,-5.33,9.3,-0.53,"NGC_2126.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2129","nan",90.27917,23.32222,3.5,87.0,83.0,-0.33,0.1,-3.51,1.3,0.14,4.0,14.67,5.49,-8.95,9.26,0.99,"NGC_2129.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 2132","nan",88.7875,-59.91028,13.0,186.0,113.0,1.17,1.63,5.43,6.04,-0.3,73.0,3.74,13.3,10.69,14.67,0.07,"NGC_2132.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2141","nan",90.72916,10.44667,6.0,514.0,385.0,0.03,1.48,-4.82,1.65,-0.18,129.0,-1.59,24.84,1.83,23.59,0.08,"NGC_2141.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2143","nan",90.77917,5.72833,6.5,148.0,111.0,1.26,2.71,-3.43,3.04,-0.28,37.0,-1.38,13.89,-9.7,8.98,0.05,"NGC_2143.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2158","nan",91.85417,24.09667,3.5,330.0,216.0,-1.22,2.77,-3.3,0.17,-0.32,114.0,1.96,27.85,-4.92,30.69,0.24,"NGC_2158.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","NGC 2165","nan",92.76666,51.67667,6.0,73.0,54.0,-0.11,3.71,-4.04,1.99,-0.34,19.0,0.45,20.22,-12.69,15.75,-0.21,"NGC_2165.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2168","nan",92.225,24.33333,21.0,3020.0,2474.0,0.65,1.48,-3.06,1.64,0.03,546.0,2.1,15.52,-2.86,15.88,-0.06,"NGC_2168.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2169","nan",92.1,13.965,3.5,69.0,49.0,-1.85,1.22,-2.68,0.73,0.02,20.0,-25.93,12.13,-0.58,15.48,0.65,"NGC_2169.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","NGC 2175","nan",92.4125,20.48667,12.0,434.0,343.0,0.37,1.58,-5.39,2.38,-0.04,91.0,4.09,12.2,-9.75,10.12,-0.06,"NGC_2175.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
